ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Nombre del atributo 4","Valor(es) del atributo 4","Atributo visible 4","Atributo global 4","Nombre del atributo 5","Valor(es) del atributo 5","Atributo visible 5","Atributo global 5","Nombre del atributo 6","Valor(es) del atributo 6","Atributo visible 6","Atributo global 6","Nombre del atributo 7","Valor(es) del atributo 7","Atributo visible 7","Atributo global 7","Nombre del atributo 8","Valor(es) del atributo 8","Atributo visible 8","Atributo global 8","Nombre del atributo 9","Valor(es) del atributo 9","Atributo visible 9","Atributo global 9","Nombre del atributo 10","Valor(es) del atributo 10","Atributo visible 10","Atributo global 10","Nombre del atributo 11","Valor(es) del atributo 11","Atributo visible 11","Atributo global 11","Nombre del atributo 12","Valor(es) del atributo 12","Atributo visible 12","Atributo global 12","Nombre del atributo 13","Valor(es) del atributo 13","Atributo visible 13","Atributo global 13","Nombre del atributo 14","Valor(es) del atributo 14","Atributo visible 14","Atributo global 14"
319,simple,,,"Departamento Monoambiente| Costanera 1900, Piso 2 | San Bernardo Del Tuyu",1,1,visible,,"<p style=""text-align: left;"">Departamento Monoambiente muy cómodo Frente al Mar.</p>
\n<p style=""text-align: left;"">Excelente Departamento monoambiente frente a la playa y a 1 cuadra del Centro Comercial de San Bernardo, ubicado en 2° Piso Por escalera. Posee cocina comedor, dormitorio y baño.</p>
\n<p style=""text-align: left;"">SE VENDE TOTALMENTE AMOBLADO Y SU ESTADO ES IMPECABLE.</p>
\n<strong>AVISO LEGAL</strong>: las características descriptas del inmueble publicado, calidades y cualidades constructivas y funcionales, valores de expensas, impuestos y servicios, medidas y superficies, son aproximados y consignadas en base a datos que fueron proporcionados por el propietario y que pueden no ser exactos y/o no estar actualizados, pudiendo surgir discrepancias con los datos que surgen de la documentación respectiva. Las medidas y superficies exactas son las que surgen de los títulos y planos legales del inmueble. Las imágenes publicadas lo son al mero efecto orientativo de las características generales y circunstancias del inmueble en el momento en que han sido tomadas, pudiendo las mismas diferir del estado y circunstancias actuales. Asimismo, los mobiliarios, accesorios, elementos, etc., que se visualicen en las imágenes publicadas, no integran la oferta de venta. En todos los casos el interesado deberá realizar una visita al inmueble y efectuar las verificaciones previamente a la realización de cualquier operación, requiriendo la documentación que corresponda. (Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI)).
\n<strong>ROMAN MININI Tomo III F° 359 Matrícula 1057 C.M.D</strong>",,,taxable,,1,,,0,0,,,,,0,,,,Venta,,,"https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900a-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900b-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900d-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900e-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900f-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900g-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900h-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900j-min.jpg, https://administracionminini.com/wp-content/uploads/2020/08/Costanera-1900k-min.jpg",,,,,,,,,0,,Ambientes,"Baño, Dormitorio",1,1,"Apto Crédito",No,1,1,Baños,1,1,1,"Cantidad de ambientes",1,1,1,Dormitorios,1,1,1,"Estado de Propiedad",Excelente,1,1,Generales,"Amoblado, Pavimento, Termotanque",1,1,Moneda,USD,1,1,Operación,Venta,1,1,Propiedad,Departamento,1,1,"Seguro de Caución",No,1,1,Servicios,"Agua corriente, Calefacción, Electricidad, Teléfono",1,1,Localidades,"San Bernardo",1,1,"Venta en Dolares","Hasta 50.000",1,1
827,simple,,,"Departamento | La Rioja 2435 | San Bernardo",1,0,visible,,"&nbsp;
\n
\n<strong>Departamento 3 ambientes con Cochera Cubierta cerca del Mar.</strong>
\n<div id=""text-responsive-ficha"" class=""hideContent"">
\n
\nUbicado a 2 cuadras del mar y 3 del centro comercial, en 2° piso por escalera encontramos este departamento de 3 ambientes con Cochera Cubierta Y Baulera en excelente estado.
\nEl mismo cuenta con cocina-comedor, baño y 2 dormitorios de los cuales uno posee balcón al contra-frente, se vende totalmente amoblado.
\nPERMUTA POR DPTO EN MAR DEL PLATA!!
\nESCUCHAMOS OFERTAS.
\nCONSULTANOS!!!
\n
\nSuperficie:
\n- Superficie total: 45 m2
\n
\n&nbsp;
\n
\n<strong>AVISO LEGAL</strong>: las características descriptas del inmueble publicado, calidades y cualidades constructivas y funcionales, valores de expensas, impuestos y servicios, medidas y superficies, son aproximados y consignadas en base a datos que fueron proporcionados por el propietario y que pueden no ser exactos y/o no estar actualizados, pudiendo surgir discrepancias con los datos que surgen de la documentación respectiva. Las medidas y superficies exactas son las que surgen de los títulos y planos legales del inmueble. Las imágenes publicadas lo son al mero efecto orientativo de las características generales y circunstancias del inmueble en el momento en que han sido tomadas, pudiendo las mismas diferir del estado y circunstancias actuales. Asimismo, los mobiliarios, accesorios, elementos, etc., que se visualicen en las imágenes publicadas, no integran la oferta de venta. En todos los casos el interesado deberá realizar una visita al inmueble y efectuar las verificaciones previamente a la realización de cualquier operación, requiriendo la documentación que corresponda. (Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI)).
\n
\n</div>
